gene,log2FC,t,p,s2,s2_post,fdr
AC005264.1,1.1224397499999998,5.114607819633582,0.002189777726552528,0.0963233095144584,0.09632330951397476,0.4783069503442497
G006413,-0.4721289250000007,-5.113866756573326,0.0021913696434988977,0.01704717407721452,0.017047174077654405,0.4783069503442497
CATG00000022646.1,1.0166070250000008,5.110762198503307,0.0021980530068019303,0.07913431744200285,0.07913431744171945,0.4783069503442497
NRP2,-0.27998045000000005,-5.102084754795833,0.0022168565116505723,0.006022683937629169,0.006022683938197482,0.4783069503442497
G001513,-0.5541564250000004,-5.101834759845685,0.0022174009356860603,0.023596194353176253,0.023596194353539844,0.4783069503442497
XLOC_006299,-0.6239779999999993,-5.099158702418128,0.002223238211078546,0.02994825300925,0.029948253009539596,0.4783069503442497
CATG00000109844.1,-0.3803553749999997,-5.095359746592118,0.002231554843535343,0.011144469699157916,0.011144469699666565,0.4783069503442497
MARC2,0.6018204249999997,5.088506255114795,0.0022466479094160564,0.027975845206749606,0.02797584520706218,0.4783069503442497
CATG00000117297.1,0.7657614250000009,5.074253843468545,0.0022784077012663563,0.04554834349946301,0.04554834349957086,0.4783069503442497
CATG00000103647.1,-0.6705210999999993,-5.069735026101351,0.0022885834999672467,0.034985200802249934,0.034985200802480854,0.4783069503442497
AC068888.1,-1.0531282500000003,-5.066181409628734,0.0022966220229992,0.0864233401882915,0.08642334018792318,0.4783069503442497
LINC00442,-1.4325483750000014,-5.061296522568629,0.002307724316901847,0.16022306113382273,0.16022306113259469,0.4783069503442497
CATG00000091552.1,0.7716630000000002,5.048654798377329,0.002336740061349969,0.04672335242091665,0.04672335242101082,0.4783069503442497
XLOC_007476,-0.5043279499999995,-5.046899070606883,0.0023408025132957105,0.01997132280512921,0.019971322805535027,0.4783069503442497
MOBP,0.515773124999999,5.041655149081233,0.002352983831344755,0.02093153800736466,0.020931538007759293,0.4783069503442497
AC005518.1,0.6811672,5.040024863871775,0.002356785529326891,0.036531885896025885,0.036531885896238785,0.4783069503442497
C5,-0.5810746500000006,-5.039714175175994,0.002357510821388261,0.026587777856111616,0.026587777856440356,0.4783069503442497
AC068633.1,-0.38568984999999945,-5.037524535669821,0.0023626296461870134,0.01172389895259831,0.011723898953100206,0.4783069503442497
LINC01270,-0.36793482500000074,-5.0305854578395754,0.0023789349392888026,0.010698791524421249,0.01069879152493509,0.4783069503442497
G016243,1.0362408250000001,5.030158349188966,0.002379942712535388,0.08487662038999959,0.08487662038964928,0.4783069503442497
ERVMER61-1,-1.6143823499999987,-5.0273583638412696,0.0023865613519725866,0.20623535053634154,0.20623535053457748,0.4783069503442497
CATG00000069690.1,-0.6483723000000001,-5.016364955070523,0.0024127503820956402,0.03341185979503333,0.03341185979528258,0.4783069503442497
LINC01193,0.4219481749999998,5.015780399816023,0.002414152038207112,0.014153739340969572,0.014153739341443164,0.4783069503442497
CEP55,0.6676005749999989,5.014622374828817,0.002416931497167379,0.03544760776839632,0.035447607768621846,0.4783069503442497
NAT2,-0.5223247749999995,-5.007885337255981,0.002433173698707978,0.021757174469369606,0.02175717446975462,0.4783069503442497
PPP6R2,-0.6847923499999999,-5.006518510239301,0.0024364840411192188,0.037417618560945866,0.03741761856114845,0.4783069503442497
CLEC1A,1.2284242999999995,5.006284073642037,0.0024370523402282365,0.1204192213530592,0.12041922135229484,0.4783069503442497
SOAT2,-0.5864200749999995,-5.002450675898489,0.0024463662593090358,0.027484131866317967,0.027484131866636265,0.4783069503442497
PLK5,0.44320804999999996,4.999564473332005,0.0024534054397867583,0.015717408067221612,0.015717408067676988,0.4783069503442497
CATG00000112390.1,0.3919248249999985,4.998833665762486,0.0024551914539022762,0.012294140437406257,0.012294140437901512,0.4783069503442497
ABCC1,0.41013680000000097,4.99846960020371,0.002456081740625523,0.013465217181422443,0.013465217181904056,0.4783069503442497
ITM2C,-0.3568710000000017,-4.994890936030945,0.00246485252575462,0.010209406395250021,0.010209406395769562,0.4783069503442497
UBN1,-0.8373433749999997,-4.992445250879968,0.002470866973269088,0.05626140208061451,0.056261402080597565,0.4783069503442497
