config,method,celltype,n,mean_pre,mean_post,sd_pre,sd_post,median_delta,wilcoxon_p
cent12CT450k,CP_penalty_K1000,CD4Tmem,65,0.02102156214754462,0.014899936642487328,0.02672386701768854,0.021378774735365473,0.0,0.05658825432204789
cent12CT450k,CP_penalty_K1000,CD4Tnv,65,0.00486071476636908,0.005086982614873829,0.01107551233092851,0.011256227146944329,0.0,0.9090071978307225
cent12CT450k,CP_penalty_K1000,CD8Tmem,65,0.06711304554014852,0.05386247970127913,0.03572208103349181,0.02982553336056184,-0.005045793370785132,0.0027960407536729587
cent12CT450k,CP_penalty_K1000,CD8Tnv,65,0.005034024818763705,0.005012988933017016,0.008194868885836905,0.007192678266384078,0.0,0.9956414281699145
cent12CT450k,CP_penalty_K1000,Eos,65,0.010598550628320574,0.009756724989721357,0.01930728031183922,0.023004208560265655,0.0,0.20967963433301573
cent12CT450k,CP_penalty_K1000,Mono,65,0.050189093812853296,0.03603206618855633,0.03274633975493505,0.030837744364489977,-0.008378630104888103,0.0005882864757625725
cent12CT450k,CP_penalty_K1000,NK,65,0.08101932524609817,0.07493451657480242,0.023313064321032424,0.022015837824787377,-0.005429899718726733,0.020523636766513562
cent12CT450k,CP_penalty_K1000,Neu,65,0.7163163496036625,0.7641617750340927,0.10997550501202819,0.09504127614298571,0.03149283917125745,0.001615428398226135
cent12CT450k,CP_penalty_K1000,Treg,65,0.008874677561600722,0.006984677476251546,0.0101897320864498,0.010099185576188404,-0.0004137851196916687,0.056995465339980664
cent12CT450k,RPC_irls,Baso,65,0.015334670114664679,0.011723815977442854,0.010844265412782342,0.010697434714297484,-0.0035997053550090377,0.017784984438401305
cent12CT450k,RPC_irls,Bmem,65,0.01352781410199616,0.013383234510962148,0.006359443095177867,0.0064734652476696655,-0.00042661166707775103,0.673526687392535
cent12CT450k,RPC_irls,Bnv,65,0.013454656204553687,0.011441038636135605,0.013873791692475051,0.013350932038092405,0.0,0.48808856625647556
cent12CT450k,RPC_irls,CD4Tmem,65,0.021204624881572657,0.013749737760945397,0.026570748615789768,0.01791478311459359,0.0,0.03234463168928191
cent12CT450k,RPC_irls,CD4Tnv,65,0.0011373157458948533,0.0029620564360609554,0.003428806331149588,0.007524232484493667,0.0,0.08538899791882958
cent12CT450k,RPC_irls,CD8Tmem,65,0.06736664502620915,0.05654285209305506,0.03440085520728724,0.029323708201681918,-0.0032927182927487975,0.013598832167677558
cent12CT450k,RPC_irls,CD8Tnv,65,0.014279815113250594,0.012813727742246905,0.012548675765254627,0.01068052364485883,-0.0005755264207079147,0.2157649871895767
cent12CT450k,RPC_irls,Eos,65,0.008844778306577475,0.00817168658218331,0.016785300576895926,0.020977248640925625,0.0,0.25469707620729154
cent12CT450k,RPC_irls,Mono,65,0.051502163290706005,0.036736758293805155,0.033694798261918145,0.03201555096316703,-0.008752710149004417,0.0006712494881189359
cent12CT450k,RPC_irls,NK,65,0.062130863985869596,0.05706544422655535,0.022011092597655463,0.01988930715924216,-0.003998323571612332,0.05109532115999244
cent12CT450k,RPC_irls,Neu,65,0.7190055985567376,0.7656984082030525,0.11044491951386973,0.09491956005353816,0.030153421061190344,0.0019298097143168453
cent12CT450k,RPC_irls,Treg,65,0.012209904324724607,0.009710071167401932,0.008683672769358447,0.008550793865833866,-0.004694005101978068,0.01261563181522418
centBloodSub,CBS_svr_nu0.25,B,65,0.00584758680389678,0.005040328238170183,0.01202360089267038,0.012376443046172398,0.0,0.40734696094047373
centBloodSub,CBS_svr_nu0.25,CD4T,65,0.032521651887131874,0.029011033718105973,0.041133848172061754,0.03867034579629304,0.0,0.3453729924798057
centBloodSub,CBS_svr_nu0.25,CD8T,65,0.031795524950235556,0.019428876551425788,0.05069953455414222,0.03631638930448809,0.0,0.01737071649777065
centBloodSub,CBS_svr_nu0.25,Eosino,65,0.013070368686799167,0.008947974414068955,0.030947165704401248,0.02409308283625685,0.0,0.28709167639284705
centBloodSub,CBS_svr_nu0.25,Mono,65,0.09730860376252662,0.07537369004574145,0.0476834456831826,0.04376479255757841,-0.01643580001046782,0.0003047217565665115
centBloodSub,CBS_svr_nu0.25,NK,65,0.043451829123477545,0.04017511877215862,0.03517038662851875,0.03374609360702808,0.0,0.526669740896324
