term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
MRPL16,mrpl16,,,,247,243,1,0,0.6484259021222827,1.0,0.9703326976054248,0.0,0.18813964508186037,2.1949752805766565,-2.006835635494796,0.9293288934578904,False,0.9459021775672874,-0.7122223879299687,0.7394201932689104,crispr_ko
MRPL19,mrpl19,,,,244,245,3,4,0.08461079867902582,0.009890738943639576,3.0683493410766136,5.2683908045977015,3.0773454661942314,0.18711672178368574,2.8902287444105457,0.006766751118189377,True,0.03704654078571747,5.037535717431466,0.0026657780739753416,crispr_ko
MRPS18A,mrps18a,,,,247,248,4,1,0.020257459320281435,0.5837448770356795,4.169398907103825,1.163744918699187,1.9271919423338646,0.8523145539535215,1.074877388380343,0.06429973744947866,True,0.15367927038777102,2.7486352528463383,0.021992669110296566,crispr_ko
MRTO4,mrto4,,,,245,249,4,1,0.020526210030872606,0.5807407491969634,4.1519274376417235,1.1735399590163935,1.923708931052602,0.555266266255096,1.368442664797506,0.06472188940417548,True,0.15396188387702536,2.7417037728530604,0.022325891369543487,crispr_ko
MS4A1,ms4a1,,,,247,248,2,2,0.2831876279456489,0.2133818700187406,1.9584937954642705,2.4126398946675445,1.2187682074158945,0.23266666402518166,0.9861015433907129,0.23000474996045722,True,0.3423155059466263,1.3388135357120523,0.12229256914361879,crispr_ko
MS4A10,ms4a10,,,,244,240,6,1,0.000471657092746903,0.5792308119191615,6.912518853695325,1.1784979423868314,3.5635219743849413,0.4288573979767852,3.134664576408156,0.002514875938222894,True,0.02117533665592524,6.005067105530913,0.000999666777740753,crispr_ko
MS4A12,ms4a12,,,,247,246,1,2,0.6529937194772887,0.2133818700187406,0.9581371009942439,2.4126398946675445,0.8559334789242455,0.550358617443677,0.30557486148056856,0.41395073602903676,True,0.5568985299552306,0.6167424718207773,0.20359880039986672,crispr_ko
MS4A13,ms4a13,,,,241,249,4,1,0.020526210030872606,0.5746692931650028,4.1519274376417235,1.1936197916666667,1.9282732398702513,2.991179846313343,-1.0629066064430919,0.06416921330622409,True,0.15367927038777102,2.7507871242113744,0.021992669110296566,crispr_ko
MS4A14,ms4a14,,,,244,246,1,3,0.6529937194772887,0.052679760410430335,0.9581371009942439,3.8033195020746886,1.4634472046622442,3.288252210572932,-1.8248050059106877,0.15031612848481737,True,0.2799030485294036,1.8257449399576864,0.046317894035321557,crispr_ko
MS4A15,ms4a15,,,,244,242,5,1,0.003360035548682001,0.5792308119191615,5.523206751054852,1.1784979423868314,2.7108044719134163,2.0170328987829573,0.693771573130459,0.014094365543707325,True,0.06161206499174737,4.308088878645179,0.00433188937020993,crispr_ko
MS4A18,ms4a18,,,,246,244,6,0,0.0005149295194670133,1.0,6.793376173999011,0.0,3.288252210572932,1.2783562088937133,2.009896001679219,0.004413708346350342,True,0.028520502728782236,5.457257550367529,0.0016661112962345886,crispr_ko
MS4A2,ms4a2,,,,244,243,4,0,0.018946713211717613,1.0,4.258949325894933,0.0,1.7224661185623678,0.42540262532700357,1.2970634932353642,0.09409174250677482,True,0.18919990815791296,2.3412139621908477,0.03732089303565478,crispr_ko
MS4A3,ms4a3,,,,244,243,5,1,0.003420039832682575,0.5792308119191615,5.4993997599039615,1.1784979423868314,2.703117179852103,2.359403317304385,0.3437138625477183,0.014311001107721518,True,0.06161206499174737,4.2927905328108915,0.00433188937020993,crispr_ko
MS4A4A,ms4a4a,,,,245,245,4,1,0.01946443015906197,0.5807407491969634,4.22268326417704,1.1735399590163935,1.9467760056579877,4.307950517930778,-2.3611745122727905,0.06197434353529929,True,0.15367927038777102,2.787609155643764,0.020659780073308896,crispr_ko
MS4A5,ms4a5,,,,245,241,3,3,0.08144006394079606,0.05320847236940902,3.1212809448103567,3.7871900826446283,2.363181103646992,1.8467659153303841,0.5164151883166077,0.027912638437645146,True,0.08774467523341767,3.616289677391536,0.010996334555148283,crispr_ko
MS4A6A,ms4a6a,,,,243,243,0,2,1.0,0.20823403226312903,0.0,2.4537545174675413,0.6814482910778951,5.426803952306451,-4.745355661228556,0.534972527323216,True,0.6455400220256764,0.26950254320302086,0.30223258913695433,crispr_ko
MS4A6E,ms4a6e,,,,243,243,9,0,5.830902960011396e-07,1.0,11.372208436724566,0.0,6.234264186204108,1.4708548046620857,4.763409381542022,8.95330705250337e-06,True,0.0005469581619411296,11.320064592911693,0.0003332222592469177,crispr_ko
MS4A7,ms4a7,,,,245,245,7,1,6.528398381997636e-05,0.5807407491969634,8.165775401069519,1.1735399590163935,4.421211051010534,1.460119734739794,2.96109131627074,0.00042387625734032316,True,0.006230427569745265,7.71193917541664,0.0003332222592469177,crispr_ko
MS4A8,ms4a8,,,,247,241,3,0,0.08144006394079606,1.0,3.1212809448103567,0.0,1.089161894030843,1.8418582665189651,-0.7526963724881222,0.2856826182164695,True,0.4221655248495149,1.0808862722937598,0.12662445851382872,crispr_ko
MSI1,msi1,,,,247,246,4,1,0.01972657432820157,0.5837448770356795,4.2047750229568415,1.163744918699187,1.9387252445787133,2.176715714129288,-0.23799046955057457,0.06292044602688733,True,0.15367927038777102,2.7715874764571753,0.02165944685104965,crispr_ko
MSI2,msi2,,,,245,246,6,0,0.000537698425188482,1.0,6.735294117647059,0.0,3.269461235482996,1.4558045062095781,1.8136567292734178,0.004585606540045954,True,0.028520502728782236,5.419861958630348,0.0016661112962345886,crispr_ko
MSMO1,msmo1,,,,246,245,0,0,1.0,1.0,0.0,0.0,-0.0,1.7445987229189837,-1.7445987229189837,1.0,False,1.0,-1.086635813704102,1.0,crispr_ko
MSR1,msr1,,,,243,248,1,1,0.6560067298582566,0.5777156020537463,0.9501712862036749,1.1834969008264462,0.421377608793705,7.495402310818272,-7.074024702024567,0.7466987887130541,True,0.8077100203612863,-0.24805958494424943,0.5118293902032656,crispr_ko
MST1,mst1,,,,246,245,4,1,0.01946443015906197,0.582245431663141,4.22268326417704,1.1686224489795918,1.9456522164548842,1.4591102053846798,0.48654201107020434,0.06210559156901835,True,0.15367927038777102,2.7853727223540186,0.020659780073308896,crispr_ko
MST1R,mst1r,,,,247,246,0,3,1.0,0.05427372816994433,0.0,3.755327868852459,1.2654103448472285,2.435590249858199,-1.1701799050109705,0.2124119038582404,True,0.33814625623370465,1.4316352397898677,0.09130289903365545,crispr_ko
MSTO1,msto1,,,,242,242,1,2,0.6468903087705561,0.2069494201941666,0.97446536865624,2.464247311827957,0.8733051411028953,1.2468699581388911,-0.37356481703599587,0.4030745096191766,True,0.5568985299552306,0.6513135136916662,0.1616127957347551,crispr_ko
MT1M,mt1m,,,,244,248,0,1,1.0,0.5792308119191615,0.0,1.1784979423868314,0.23714834409932042,3.5209188745981135,-3.283770530498793,0.8955222538365255,True,0.9390241936194845,-0.6146910309218451,0.6247917360879707,crispr_ko
MTA1,mta1,,,,247,249,2,1,0.28476943222922063,0.5837448770356795,1.9503515874707011,1.163744918699187,0.7792835484402566,0.7819217091419904,-0.002638160701733838,0.4645151104908768,True,0.5763039171336467,0.46420278224406686,0.2862379206931023,crispr_ko
MTA2,mta2,,,,246,247,2,2,0.28160566201117104,0.21209354498352753,1.966702470461869,2.422792173453199,1.22383116637499,1.8182157706254305,-0.5943846042504406,0.22803523604573647,True,0.34157050579213477,1.3488892420184182,0.11796067977340886,crispr_ko
MTA3,mta3,,,,247,245,1,2,0.6514775806219191,0.2133818700187406,0.9621689785624212,2.4126398946675445,0.8569430082793595,0.42010577459626447,0.43683723368309507,0.41331275445399496,True,0.5568985299552306,0.6187515185801848,0.1996001332889037,crispr_ko
MTAP,mtap,,,,240,246,4,3,0.01972657432820157,0.050591136936177485,4.2047750229568415,3.869198312236287,3.000873887355394,0.8647219281863361,2.136151959169058,0.007893867447265068,True,0.03978522215125471,4.88535096235261,0.002999000333222259,crispr_ko
MTCH2,mtch2,,,,246,243,6,2,0.0005038316302547722,0.21209354498352753,6.822784810126582,2.422792173453199,3.9711871201600397,1.2827151595802253,2.6884719605798146,0.001083981725029498,True,0.011944424420409607,6.8163544008373,0.0003332222592469177,crispr_ko
MTHFD2,mthfd2,,,,241,245,7,4,6.528398381997636e-05,0.009479630528948178,8.165775401069519,5.3368252582569475,6.208401940595616,1.8392715497608974,4.3691303908347185,9.4658180726134e-06,True,0.0005469581619411296,11.2685965890666,0.0003332222592469177,crispr_ko
MTHFR,mthfr,,,,243,246,1,1,0.6529937194772887,0.5777156020537463,0.9581371009942439,1.1834969008264462,0.42337689931184885,3.0734516065453756,-2.650074707233527,0.7450058932271147,True,0.8077100203612863,-0.2440808317596653,0.4828390536487837,crispr_ko
MTMR3,mtmr3,,,,243,239,2,1,0.26894735686771726,0.5777156020537463,2.034865645125472,1.1834969008264462,0.8086186230176862,0.431046149163388,0.37757247385429815,0.44467000242806887,True,0.5754780024749325,0.5225820024403001,0.21892702432522493,crispr_ko
MTNR1A,mtnr1a,,,,244,246,5,0,0.0036047079261158897,1.0,5.429164196799052,0.0,2.44312991852151,0.8605892707149987,1.5825406478065112,0.023883044743177373,True,0.08433007494086854,3.775394419248181,0.005998000666444518,crispr_ko
