perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
tspan7,1,1,0.7081720437083812,0.7081720437083812,0.15367927038777102,2.7828384483567805,1.0,0,66.3915547024952
dock7,1,1,0.7072770302034779,0.7072770302034779,0.15367927038777102,2.750858160119552,1.0,0,66.37236084452975
nhp2,1,1,0.7069693693098245,0.7069693693098245,0.08408815262069505,3.8056217634177876,1.0,0,66.3531669865643
cblb,1,1,0.7068077508065924,0.7068077508065924,0.15451083644116878,2.735034935636346,1.0,0,66.33397312859886
retreg1,1,1,0.7068054460152406,0.7068054460152406,0.15367927038777102,2.785130168378448,1.0,0,66.3147792706334
ppp1ca,1,1,0.7052462171426417,0.7052462171426417,0.08433007494086854,3.775394419248181,1.0,0,66.29558541266795
ifi30,1,1,0.7050210944385322,0.7050210944385322,0.15367927038777102,2.7713337511587173,1.0,0,66.2763915547025
tra2b,1,1,0.7041552955470487,0.7041552955470487,0.15407626157132917,2.7394673395633147,1.0,0,66.25719769673705
kiaa1524,1,1,0.702818244273258,0.702818244273258,0.15396188387702536,2.7417037728530604,1.0,0,66.23800383877159
gpat3,1,1,0.7017220611296349,0.7017220611296349,0.029443315791209,5.364423136967752,1.0,1,66.21880998080614
nr4a1,1,1,0.7014738978400059,0.7014738978400059,0.15384586314886556,2.7439538489735735,1.0,0,66.1996161228407
slc25a22,1,1,0.7002697772491779,0.7002697772491779,0.14792574721784407,2.939716306607602,1.0,0,66.18042226487523
slk,1,1,0.700122195783911,0.700122195783911,0.15372818624885756,2.746217686179514,1.0,0,66.16122840690979
kcne4,1,1,0.6952231912022144,0.6952231912022144,0.026098675980108038,5.624181330702482,1.0,1,66.14203454894434
sh2d2a,1,1,0.6945475222450623,0.6945475222450623,0.1517456958584345,2.8909119803249435,1.0,0,66.12284069097889
hbegf,1,1,0.6938174092809306,0.6938174092809306,0.08688328582868263,3.7158055234367806,1.0,0,66.10364683301344
ms4a15,1,1,0.693771573130459,0.693771573130459,0.06161206499174737,4.308088878645179,1.0,0,66.084452975048
kcnk13,1,1,0.6937618945776447,0.6937618945776447,0.06161206499174737,4.271555424758725,1.0,0,66.06525911708253
