perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
lilra5,1,1,-0.6452942709347246,-0.6452942709347246,0.8196542026128145,0.11271862145916578,1.0,0,27.523992322456813
hunk,1,1,-0.6456033782473886,-0.6456033782473886,0.9959914592564945,-1.1464569581124076,0.0,0,27.504798464491365
spg7,1,1,-0.6459492696881871,-0.6459492696881871,0.8671174995425561,-0.3126950674902518,1.0,0,27.485604606525914
slc22a23,1,1,-0.6459513620399138,-0.6459513620399138,0.9248014346238744,-0.48444003773670774,1.0,0,27.466410748560467
lrp8,1,1,-0.6460601292075601,-0.6460601292075601,0.7280004351846168,0.629751973555031,1.0,0,27.447216890595005
prkar1a,1,1,-0.6470809577305157,-0.6470809577305157,0.8468653944187763,-0.03732370449395691,1.0,0,27.428023032629557
tyk2,1,1,-0.6475079716222314,-0.6475079716222314,0.7723586828749348,0.344703511187858,1.0,0,27.408829174664106
c7orf50,1,1,-0.6475307403045522,-0.6475307403045522,0.7723586828749348,0.3763120342194725,1.0,0,27.38963531669866
gadd45b,1,1,-0.6490033500998986,-0.6490033500998986,0.6045674769817553,1.506878486334963,1.0,0,27.370441458733207
mut,1,1,-0.6495391972521954,-0.6495391972521954,0.791926897546367,0.1959231053403472,1.0,0,27.35124760076776
celsr2,1,1,-0.6498080331321798,-0.6498080331321798,0.7723586828749348,0.4370197292283136,1.0,0,27.332053742802298
ndufa9,1,1,-0.6507627290867923,-0.6507627290867923,0.9785274637015098,-0.9583103785545983,0.0,0,27.312859884836847
drap1,1,1,-0.6509861099274992,-0.6509861099274992,0.6045674769817553,1.517073780876169,1.0,0,27.2936660268714
runx3,1,1,-0.6512066839963326,-0.6512066839963326,0.9248014346238744,-0.47449958144804444,1.0,0,27.27447216890595
il11,1,1,-0.6520773412470787,-0.6520773412470787,0.9785274637015098,-0.9598683733874834,0.0,0,27.2552783109405
slc7a11,1,1,-0.6525413066580646,-0.6525413066580646,0.7735121578038581,0.26921141132521953,1.0,0,27.23608445297505
sirt3,1,1,-0.6526630862693126,-0.6526630862693126,0.9530678766884607,-0.754355769110336,0.0,0,27.216890595009602
phc3,1,1,-0.6531310384686733,-0.6531310384686733,0.9248014346238744,-0.47449958144804444,1.0,0,27.19769673704414
dhh,1,1,-0.6532222468632203,-0.6532222468632203,0.5544715702763731,2.196591662996781,1.0,0,27.178502879078692
mxra8,1,1,-0.6541355741422938,-0.6541355741422938,0.8671174995425561,-0.2822517068405297,1.0,0,27.15930902111324
rpl8,1,1,-0.654174894543017,-0.654174894543017,0.8468653944187763,-0.06276328624173802,1.0,0,27.140115163147794
vstm5,1,1,-0.6556396158773357,-0.6556396158773357,0.6045674769817553,1.7623947661409607,1.0,0,27.120921305182343
lair2,1,1,-0.6558112540558556,-0.6558112540558556,0.6119373701879862,1.4575152313821051,1.0,0,27.101727447216895
prkce,1,1,-0.656593727662441,-0.656593727662441,0.8468653944187763,-0.05779487826908614,1.0,0,27.082533589251433
rora,1,1,-0.656593727662441,-0.656593727662441,0.8468653944187763,-0.05779487826908614,1.0,0,27.063339731285986
rsph9,1,1,-0.656868111967425,-0.656868111967425,0.8671174995425561,-0.2928580593490382,1.0,0,27.044145873320534
clec7a,1,1,-0.6576544574111793,-0.6576544574111793,0.9785274637015098,-0.9569214916911498,0.0,0,27.024952015355087
pde6h,1,1,-0.6591055680005652,-0.6591055680005652,0.8671174995425561,-0.2638630701622216,1.0,0,27.005758157389636
serping1,1,1,-0.6602232862142258,-0.6602232862142258,0.8468653944187763,-0.045489979539601606,1.0,0,26.986564299424188
setd8,1,1,-0.6608594015301482,-0.6608594015301482,0.8671174995425561,-0.2918688397124408,1.0,0,26.967370441458737
prps2,1,1,-0.6612410281742169,-0.6612410281742169,0.7723586828749348,0.4136107943692658,1.0,0,26.94817658349328
etnk1,1,1,-0.6619904464631947,-0.6619904464631947,0.7723586828749348,0.33772209451661783,1.0,0,26.928982725527828
gata2,1,1,-0.6624990691084289,-0.6624990691084289,0.9530678766884607,-0.7588775820830679,0.0,0,26.90978886756238
slco1b3,1,1,-0.6635336781867431,-0.6635336781867431,0.9248014346238744,-0.4621541054556795,1.0,0,26.89059500959693
slc15a4,1,1,-0.6641823007974427,-0.6641823007974427,0.9248014346238744,-0.4553915846369516,1.0,0,26.87140115163148
pde10a,1,1,-0.6642390059009192,-0.6642390059009192,0.8671174995425561,-0.22920451259650848,1.0,0,26.85220729366603
aldh1a1,1,1,-0.6643566634244719,-0.6643566634244719,0.8671174995425561,-0.27004334471990066,1.0,0,26.833013435700583
gpr17,1,1,-0.6643692925996438,-0.6643692925996438,0.9994606677252998,-1.2457396395343965,0.0,0,26.81381957773512
rhov,1,1,-0.6645167501230725,-0.6645167501230725,0.8734824504526563,-0.35029437043568507,1.0,0,26.79462571976967
hsp90aa1,1,1,-0.6659458423872631,-0.6659458423872631,0.8468653944187763,0.004152131950337496,1.0,0,26.775431861804222
maged1,1,1,-0.6663061036008953,-0.6663061036008953,0.8671174995425561,-0.32013793755866576,1.0,0,26.756238003838774
ly75,1,1,-0.6664103708723698,-0.6664103708723698,0.9277334219761493,-0.5804467497032276,1.0,0,26.737044145873323
zpbp2,1,1,-0.6666380897593023,-0.6666380897593023,0.7723586828749348,0.39610366037996936,1.0,0,26.717850287907872
mybbp1a,1,1,-0.6666380897593024,-0.6666380897593024,0.9785274637015098,-0.9590966678119556,0.0,0,26.698656429942414
cmtm7,1,1,-0.6666380897593024,-0.6666380897593024,0.9812779493843602,-0.9886132606735683,0.0,0,26.679462571976963
cd47,1,1,-0.6669696885001657,-0.6669696885001657,0.9277334219761493,-0.5132260642459727,1.0,0,26.660268714011515
siglec9,1,1,-0.6670260844221401,-0.6670260844221401,0.8468653944187763,0.027849779594977024,1.0,0,26.641074856046064
csk,1,1,-0.6681586725292916,-0.6681586725292916,0.8671174995425561,-0.29223133861912437,1.0,0,26.621880998080616
cd79a,1,1,-0.6687678028989352,-0.6687678028989352,0.8671174995425561,-0.3104433833018524,1.0,0,26.602687140115165
shtn1,1,1,-0.6691452508658955,-0.6691452508658955,0.9277334219761493,-0.578418521293823,0.0,0,26.583493282149718
ofd1,1,1,-0.6693440671862689,-0.6693440671862689,0.9248014346238744,-0.4889516025372598,1.0,0,26.564299424184256
gzmk,1,1,-0.6698665070483941,-0.6698665070483941,0.9994606677252998,-1.2452525468557398,0.0,0,26.54510556621881
hdac1-shrna2,1,1,-0.6703693007150886,-0.6703693007150886,0.9530678766884607,-0.7707271929772268,0.0,0,26.525911708253357
bnipl,1,1,-0.6711455895215122,-0.6711455895215122,0.9248014346238744,-0.48113197737286534,1.0,0,26.50671785028791
lzts3,1,1,-0.6717722017802967,-0.6717722017802967,0.8468653944187763,-0.01161306155338022,1.0,0,26.48752399232246
hdac11,1,1,-0.6720307925691169,-0.6720307925691169,0.9277334219761493,-0.5741119561117985,0.0,0,26.46833013435701
or10v1,1,1,-0.6724784241354036,-0.6724784241354036,0.7723586828749348,0.3451916040882978,1.0,0,26.44913627639155
trpc6,1,1,-0.6725901827073106,-0.6725901827073106,0.7021019815613727,0.8336616928632389,1.0,0,26.4299424184261
oas1,1,1,-0.6726433518871932,-0.6726433518871932,0.8671174995425561,-0.31349372275202425,1.0,0,26.41074856046065
myo1e,1,1,-0.6730688107092385,-0.6730688107092385,0.9277334219761493,-0.5910824246148028,1.0,0,26.391554702495203
slc25a22,1,1,-0.6751914538309158,-0.6751914538309158,0.7723586828749348,0.33210133275135767,1.0,0,26.37236084452975
chpf,1,1,-0.6755331647950951,-0.6755331647950951,0.7723586828749348,0.38369225461646617,1.0,0,26.353166986564304
taf1l,1,1,-0.6758159571656325,-0.6758159571656325,0.9785274637015098,-0.8686480504206906,0.0,0,26.333973128598853
camk2a,1,1,-0.6762524295872006,-0.6762524295872006,0.7723586828749348,0.33761337778627065,1.0,0,26.314779270633395
bach2,1,1,-0.6762671992813696,-0.6762671992813696,0.9785274637015098,-0.8881823152133761,0.0,0,26.295585412667943
arg1,1,1,-0.6769118657302997,-0.6769118657302997,0.8671174995425561,-0.19203323618003107,1.0,0,26.276391554702492
ppp6c,1,1,-0.6780998017342785,-0.6780998017342785,0.9785274637015098,-0.902949697842718,0.0,0,26.257197696737045
sec14l2,1,1,-0.6786241382660076,-0.6786241382660076,0.9785274637015098,-0.8743297260784079,0.0,0,26.238003838771597
adh1b,1,1,-0.6797615660530321,-0.6797615660530321,0.8671174995425561,-0.29791565793415503,1.0,0,26.218809980806146
kir3dl1,1,1,-0.6820897520591407,-0.6820897520591407,0.8671174995425561,-0.1780807494005731,1.0,0,26.199616122840695
ripk3,1,1,-0.6824205483904322,-0.6824205483904322,0.8671174995425561,-0.28743956351014066,1.0,0,26.180422264875236
cdkl1,1,1,-0.682520698386476,-0.682520698386476,0.8468653944187763,-0.021359778696672133,1.0,0,26.161228406909785
ncoa1,1,1,-0.6830064612673463,-0.6830064612673463,0.4470094964147599,3.2988948521034054,1.0,0,26.142034548944338
mybpc3,1,1,-0.6831714810030156,-0.6831714810030156,0.9859634696696012,-1.027271523390275,0.0,0,26.122840690978887
slc6a8,1,1,-0.6832762830409385,-0.6832762830409385,0.8468653944187763,-0.042329516129009134,1.0,0,26.10364683301344
selp,1,1,-0.6840436446540872,-0.6840436446540872,0.8468653944187763,-0.08212529239677237,1.0,0,26.084452975047988
denr,1,1,-0.6849613106782841,-0.6849613106782841,0.9277334219761493,-0.519425143002421,1.0,0,26.06525911708253
shisa2,1,1,-0.6860150610958505,-0.6860150610958505,0.8468653944187763,-0.07563180019671693,1.0,0,26.04606525911708
irak2,1,1,-0.6862002693164875,-0.6862002693164875,0.9785274637015098,-0.9545809917036399,0.0,0,26.02687140115163
sarm1,1,1,-0.6868306533057257,-0.6868306533057257,0.8468653944187763,0.011607129358269973,1.0,0,26.00767754318618
slc12a5,1,1,-0.6887354207028983,-0.6887354207028983,0.8671174995425561,-0.21013347647206454,1.0,0,25.988483685220732
mmp15,1,1,-0.6889799874778441,-0.6889799874778441,0.9994418244508292,-1.2144127912988623,0.0,0,25.96928982725528
copg1,1,1,-0.689156827602333,-0.689156827602333,0.7280004351846168,0.6832363891590958,1.0,0,25.950095969289833
dock7,1,1,-0.691276687776726,-0.691276687776726,0.9277334219761493,-0.5918880227133831,0.0,0,25.93090211132437
rev3l,1,1,-0.6915483997408624,-0.6915483997408624,0.9785274637015098,-0.940084163768994,0.0,0,25.911708253358924
cda,1,1,-0.6920988632662028,-0.6920988632662028,0.8468653944187763,-0.01639853741977006,1.0,0,25.892514395393473
ugt1a9,1,1,-0.6925137160043816,-0.6925137160043816,0.8468653944187763,0.030796661291310867,1.0,0,25.873320537428025
apol1,1,1,-0.6925377391507,-0.6925377391507,0.8468653944187763,-0.03982180784163389,1.0,0,25.854126679462574
carmil2,1,1,-0.6937999690416707,-0.6937999690416707,0.9785274637015098,-0.9380116815457736,0.0,0,25.834932821497127
arih1,1,1,-0.6942900134902736,-0.6942900134902736,0.7723586828749348,0.42521730870037217,1.0,0,25.815738963531665
dlg4,1,1,-0.6944342962308465,-0.6944342962308465,0.9530678766884607,-0.7495966734788073,0.0,0,25.796545105566217
ick,1,1,-0.6963385063891145,-0.6963385063891145,0.9277334219761493,-0.6113765438067474,1.0,0,25.777351247600766
alg13,1,1,-0.6969796719147303,-0.6969796719147303,0.7723586828749348,0.35364143668752246,1.0,0,25.758157389635315
il2,1,1,-0.6971422864814247,-0.6971422864814247,0.5039250749424881,2.528756865258952,1.0,0,25.738963531669867
mpv17,1,1,-0.6972566631914712,-0.6972566631914712,0.9277334219761493,-0.583667175039323,0.0,0,25.71976967370442
saa2,1,1,-0.6987412761576155,-0.6987412761576155,0.9785274637015098,-0.8870854668554579,0.0,0,25.70057581573897
gng11,1,1,-0.7001184498658382,-0.7001184498658382,0.7723586828749348,0.36445043129811033,1.0,0,25.681381957773507
phospho1,1,1,-0.7010003852025707,-0.7010003852025707,0.7723586828749348,0.34533096524817747,1.0,0,25.66218809980806
gimap4,1,1,-0.7010522563453933,-0.7010522563453933,0.928347431969256,-0.6157825422365824,1.0,0,25.642994241842608
