gene,chrom,n_snps,min_p,score
INVS,9,753,0.00113805,2.9438386568802515
IP6K1,3,264,0.0017451,2.7581796814819697
IP6K2,3,139,0.00557122,2.254049691495767
IP6K3,6,331,0.0198363,1.7025393321534958
IPCEF1,6,1110,0.00245499,2.6099502725649084
IPMK,10,537,0.003897,2.4092695942073097
IPO11,5,765,0.00538567,2.2687602609448807
IPO11-LRRC70,5,197,0.00886707,2.0522198630370396
IPO13,1,97,0.0304039,1.5170707045542837
IPO4,14,96,0.0284728,1.5455698224647145
IPO5,13,280,0.0242042,1.6161092671370019
IPO5P1,19,176,0.00842384,2.0744898906090143
IPO7,11,311,0.000681177,3.1667400244524164
IPO8,12,380,0.000526951,3.27822976698668
IPO9,1,239,0.0168066,1.7745201360898393
IPO9-AS1,1,569,0.00144404,2.8404207766149434
IPP,1,312,0.00499379,2.30156972465163
IPPK,9,309,0.000707473,3.1502901299022774
IPW,15,92,0.00689827,2.161259811242142
IQANK1,8,359,0.0155278,1.8088900713507443
IQCA1,2,671,0.0120196,1.9201099849691614
IQCA1L,7,136,0.0237843,1.623709625854797
IQCB1,3,400,0.00935406,2.0289998487117415
IQCC,1,73,0.00310885,2.507400231878919
IQCD,12,136,0.00526805,2.278350111724482
IQCE,7,519,0.00387383,2.4118594418724286
IQCF1,3,72,0.148523,0.8282062870900532
IQCF2,3,92,0.062418,1.2046901511285415
IQCF3,3,70,0.0425491,1.3711096216937877
IQCF4P,3,54,0.0483092,1.3159701543673878
IQCF5,3,73,0.0220709,1.6561799569577687
IQCF5-AS1,3,75,0.0220709,1.6561799569577687
IQCF6,3,38,0.0216033,1.6654799033711511
IQCG,3,386,0.00087573,3.057629772353201
IQCH,15,726,0.00258089,2.588230505107835
IQCH-AS1,15,378,0.00718059,2.1438398700728545
IQCJ,3,718,0.00590949,2.2284499979246672
IQCJ-SCHIP1,3,3108,0.000279982,3.552869888486193
IQCJ-SCHIP1-AS1,3,91,0.0280595,1.551920072052336
IQCK,16,569,0.00279332,2.5538793090990204
IQCM,4,1564,0.00109081,2.962250889317764
IQCN,19,235,0.00432444,2.364070124189059
IQGAP1,15,588,0.00219837,2.6578992111686492
IQGAP2,5,1534,0.00228639,2.6408496880257766
IQGAP3,1,264,0.0131338,1.8816096013846297
IQSEC1,3,1966,0.000705148,3.151719721536816
IQSEC3,12,746,0.00672465,2.1723303146005395
IQUB,7,285,0.00351512,2.4540598443430888
IRAG1,11,656,0.000720543,3.1423400965911648
IRAG1-AS1,11,367,0.0117818,1.9287883538317014
IRAG2,12,414,0.00381953,2.417990074513565
IRAIN,15,101,0.00222962,2.6517691485956667
IRAK1BP1,6,188,0.00886503,2.052319790371872
IRAK2,3,501,1.31923e-05,4.879679481161055
IRAK3,12,307,0.00654696,2.183960312481447
IRAK4,12,182,0.0237859,1.6236804112973091
IREB2,15,298,0.0104213,1.9820781018032214
IRF1,5,160,0.00138398,2.858870185856427
IRF1-AS1,5,387,0.00146312,2.834720053095051
IRF2,4,503,0.0100044,1.9998089524553408
IRF2BP1,19,123,0.00930336,2.0313601733901585
IRF2BP2,1,119,0.0189004,1.7235290045064118
IRF2BPL,14,112,0.0118013,1.9280701493270223
IRF3,19,59,0.00011663,3.933189724374167
IRF4,6,190,0.0396059,1.4022401134032507
IRF5,7,157,0.0100425,1.998158159596291
IRF6,1,185,0.00226193,2.6455208393239733
IRF7,11,155,0.0141433,1.8494492465094776
IRF8,16,229,0.0126125,1.899198820755033
IRF9,14,85,0.0141456,1.8493786267744876
IRGC,19,125,0.0532574,1.2736200394219583
IRGM,5,391,0.0390706,1.4081499193437255
IRGQ,19,109,0.0547697,1.2614596379045433
IRS1,2,278,0.0157435,1.8028987115123982
IRS2,13,232,0.0179941,1.7448698703118968
IRX1,5,123,7.12426e-05,4.14726023933445
IRX2,5,109,0.0173556,1.7605603677497057
IRX3,16,91,0.00240636,2.6186394001391737
IRX4,5,232,0.0051874,2.285050262302365
IRX5,16,79,0.0352525,1.4528100787376805
IRX6,16,148,0.0710739,1.1482898530955141
ISCA1,9,123,0.00421658,2.375039655510254
ISCA2,14,78,0.00930615,2.0312299516257393
ISCU,12,148,0.00389996,2.408939847298722
ISG15,1,115,0.0258303,1.587870549785337
ISG20,15,239,0.0126829,1.8967814317857736
ISG20L2,1,87,0.0106321,1.9733809472982107
ISL1,5,94,0.038484,1.4147197940239347
ISL2,15,86,0.00776015,2.1101298839553837
ISLR,15,82,0.0112367,1.9493612138752323
ISLR2,15,47,0.00861589,2.0646998543593282
ISM1,20,574,0.00025825,3.587959669808342
ISM1-AS1,20,153,0.0322745,1.49114047714591
ISM2,14,209,0.0311659,1.506320327158313
